SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,AFT
46.75,10.98,22,7.6,5.6,0.27,0.66,5.15,0.68,1182
25.5,11.7,21.5,22.9,9.2,0.22,0.86,5.64,0.87,1242
47.62,30.75,4.57,8,1.83,0.29,0.51,2.97,1.7,1392
59,19.5,7,2.9,1.5,2.6,1.8,3.75,0.83,1224
43.01,21.1,24.58,3.24,0.82,0.73,1.46,3.38,0.99,1160
34.17,17.65,16.66,16.03,7.38,0.32,0.93,5.27,0.67,1192
31.5,13.3,16,18.1,10.6,0.43,0.77,8.3,0.58,1272
46.5,20.6,17,7,2.26,0.32,0.89,4.2,0.92,1192
38.97,14.49,22.5,12.84,5.2,0.29,0.48,3.51,0.43,1266
60.57,27.3,6.09,1.09,0.04,0.13,0.97,0.06,2.31,1392
60.37,27.44,5.63,1.14,0.06,0.15,1.08,0.03,2.69,1368
38,6.8,18,16,14.5,2.94,0.45,3.75,0.57,1331
29,3.7,40.4,11.1,9.5,2.18,0.32,3.15,0.4,1170
40.22,16.46,15.03,9.04,4.28,0.99,0.49,10.84,1.05,1157
